"Domain","MBFC factual","Site Rank","Year online","Name","Media Bias/Fact Check URL","Wikipedia","MBFC","lang","MisinfoMe","Logically","Our.news","URL","✓"
"americamaxnews.com","low","494950","2020","America Max News","https://mediabiasfactcheck.com/america-max-news/","","FN","en","-0.6","unknown","","https://www.americamaxnews.com/","↗"
"americanconservativemovement.com","low","249171","2016","American Conservative Movement","https://mediabiasfactcheck.com/american-conservative-movement-acm/","","FN","en","-0.6","unknown","","https://americanconservativemovement.com/","↗"
"americanfreepress.net","low","460516","2001","American Free Press","https://mediabiasfactcheck.com/american-free-press/","https://en.wikipedia.org/wiki/American_Free_Press","CP","en","-0.4","low","Problematic","https://americanfreepress.net/","↗"
"americangulag.org","very-low","867901","","American Gulag","https://mediabiasfactcheck.com/american-gulag/","","FN","en","-0.1","unknown","","https://americangulag.org/","↗"
"americanjournalreview.com","low","322527","2015","American Journal Review","https://mediabiasfactcheck.com/american-journal-review/","","FN","en","0.0","low","Problematic","https://americanjournalreview.com/","↗"
"americanlibertyemail.com","low","796135","2018","American Liberty Report","https://mediabiasfactcheck.com/american-liberty-report/","","FN","en","","unknown","","https://www.americanlibertyemail.com/","↗"
"americanlookout.com","low","399717","2016","American Lookout","https://mediabiasfactcheck.com/american-lookout/","","FN","en","0.2","low","Problematic","https://americanlookout.com/","↗"
"americanpeopledaily.com","low","678656","2017","American People Daily","https://mediabiasfactcheck.com/american-people-daily/","","FN","en","0.0","unknown","","https://americanpeopledaily.com/","↗"
"americanpolicy.org","low","4188492","1997","American Policy Center","https://mediabiasfactcheck.com/american-policy-center/","","CP","en","0.2","unknown","","https://americanpolicy.org/","↗"
"americanprinciplesproject.org","low","7206620","","American Principles Project","https://mediabiasfactcheck.com/american-principles-project/","https://en.wikipedia.org/wiki/American_Principles_Project","FN","en","-0.2","low","","https://americanprinciplesproject.org/","↗"
"americansfortruth.com","very-low","3649691","1998","Americans for Truth about Homosexuality","https://mediabiasfactcheck.com/americans-for-truth-aftah/","https://en.wikipedia.org/wiki/Americans_for_Truth_about_Homosexuality","FN","en","-0.4","low","","https://americansfortruth.com/","↗"
"americanthinker.com","low","15496","2003","American Thinker","https://mediabiasfactcheck.com/american-thinker/","https://en.wikipedia.org/wiki/American_Thinker","FN","en","-0.7","low","Problematic","https://www.americanthinker.com/","↗"
"americantruthtoday.com","low","546805","2019","American Truth Today","https://mediabiasfactcheck.com/american-truth-today/","","FN","en","0.6","low","","https://americantruthtoday.com/","↗"
"americasfreedomfighters.com","very-low","768287","2013","Americas Freedom Fighters","https://mediabiasfactcheck.com/american-freedom-fighters/","","FN","en","-0.8","low","Problematic","https://americasfreedomfighters.com/","↗"
"americasfrontlinedoctors.org","low","49620","","America's Frontline Doctors","https://mediabiasfactcheck.com/americas-frontline-doctors/","","CP","en","-0.7","unknown","","https://americasfrontlinedoctors.org/","↗"
"amg-news.com","very-low","292004","2018","American Media Group","https://mediabiasfactcheck.com/amg-news/","","CP","en","","unknown","","https://amg-news.com/","↗"
"amren.com","low","65466","1995","American Renaissance Magazine","https://mediabiasfactcheck.com/american-renaissance-magazine/","https://en.wikipedia.org/wiki/American_Renaissance_(magazine)","FN","en","-0.1","low","Verified","https://www.amren.com/","↗"
"amtvmedia.com","low","1000462","","Alternative Media Television (AMTV)","https://mediabiasfactcheck.com/alternative-media-television-amtv/","","CP","en","0.2","low","Problematic","https://www.amtvmedia.com/","↗"
"anonhq.com","very-low","173716","2014","We are Anonymous","https://mediabiasfactcheck.com/we-are-anonymous/","","CP","en","-0.2","low","Problematic","https://anonhq.com/","↗"
"anyavien.com","very-low","2000570","2016","Anya Vien","https://mediabiasfactcheck.com/anya-vien/","","CP","en","-1.0","unknown","Unverified","https://anyavien.com/","↗"
"askingangels.com","very-low","3609058","2012","AskingAngels","https://mediabiasfactcheck.com/askingangels-com/","","CP","en","-1.0","unknown","","https://askingangels.com/","↗"
"assassinationscience.com","low","4276349","1998","Assassination Science","https://mediabiasfactcheck.com/assassination-science/","","CP","en","-0.5","low","Problematic","https://assassinationscience.com/","↗"
"australiannationalreview.com","low","1716654","2014","Australian National Review","https://mediabiasfactcheck.com/australian-national-review/","","CP","en","0.0","low","Problematic","https://australiannationalreview.com/","↗"
"avoiceformen.com","low","214865","2009","A Voice for Men","https://mediabiasfactcheck.com/a-voice-for-men/","https://en.wikipedia.org/wiki/A_Voice_for_Men","FN","en","0.8","low","","https://avoiceformen.com/","↗"
"awarenessact.com","low","55285","2012","Awareness Act","https://mediabiasfactcheck.com/awareness-act/","","CP","en","-0.9","low","Problematic","https://awarenessact.com/","↗"
"banned.video","very-low","8218","2019","Banned.nideo","https://mediabiasfactcheck.com/banned-video/","","CP","en","-0.9","low","Unverified","https://banned.video/","↗"
"barenakedislam.com","low","122795","2008","Bare Naked Islam","https://mediabiasfactcheck.com/bare-naked-islam/","","FN","en","-0.9","low","Problematic","https://barenakedislam.com/","↗"
"bb4sp.com","low","487623","2015","BB4SP","https://mediabiasfactcheck.com/bb4sp/","","FN","en","-0.9","low","Problematic","https://bb4sp.com/","↗"
"beachbroadcastnews.com","very-low","197831","2021","Beach Broadcast","https://mediabiasfactcheck.com/beach-broadcast-news-bias/","","FN","en","","unknown","","https://www.beachbroadcastnews.com/","↗"
"beckernews.com","low","77122","","Becker News","https://mediabiasfactcheck.com/becker-news/","https://en.wikipedia.org/wiki/Jason_Becker","FN","en","-1.0","unknown","","https://beckernews.com/","↗"
"beforeitsnews.com","low","16416","","Before It's News","https://mediabiasfactcheck.com/before-its-news/","https://en.wikipedia.org/wiki/List_of_fake_news_websites","FN","en","-0.8","low","Problematic","https://beforeitsnews.com/","↗"
"bestnewshere.com","very-low","79505","2018","Best News Here","https://mediabiasfactcheck.com/best-news-here/","","CP","en","-1.0","unknown","Unverified","https://bestnewshere.com/","↗"
"biggovernment.news","very-low","3877485","","Big Government News","https://mediabiasfactcheck.com/big-government-news/","https://en.wikipedia.org/wiki/Natural_News","CP","en","0.0","low","Problematic","https://biggovernment.news/","↗"
"bigleaguepolitics.com","low","88039","2016","Big League Politics","https://mediabiasfactcheck.com/big-league-politics/","https://en.wikipedia.org/wiki/Big_League_Politics","FN","en","-0.9","low","Problematic","https://bigleaguepolitics.com/","↗"
"billionbibles.org","very-low","943925","","BillionBibles.org","https://mediabiasfactcheck.com/billionbibles-bias-credibility-christian-propaganda-fake-news/","","FN","en","0.0","low","","https://billionbibles.org/","↗"
"biodefense.com","very-low","20000000","","BioDefense","https://mediabiasfactcheck.com/biodefense/","","CP","en","0.0","low","Problematic","https://biodefense.com/","↗"
"bipartisanreport.com","low","135565","","Bipartisan Report","https://mediabiasfactcheck.com/bipartisan-report/","","FN","en","-0.1","low","Problematic","https://bipartisanreport.com/","↗"
"bitchute.com","very-low","2060","2014","BitChute","https://mediabiasfactcheck.com/bitchute/","https://en.wikipedia.org/wiki/BitChute","FN","en","-0.8","low","Unverified","https://www.bitchute.com/","↗"
"blackeyepolitics.com","low","648994","2018","Black Eye Politics","https://mediabiasfactcheck.com/black-eye-politics-bias-credibility-rating/","","FN","en","0.0","low","","https://blackeyepolitics.com/","↗"
"blackgenocide.org","low","3251119","2001","Black Genocide","https://mediabiasfactcheck.com/black-genocide/","","FN","en","-0.7","low","Problematic","https://blackgenocide.org/","↗"
"blingnews.com","low","3966576","2016","Blingnews.com","https://mediabiasfactcheck.com/blingnews-com/","","FN","en","-0.2","low","Problematic","https://www.blingnews.com/","↗"
"bluntforcetruth.com","low","430699","2014","Blunt Force Truth","https://mediabiasfactcheck.com/blunt-force-truth/","","FN","en","-0.8","low","Unverified","https://bluntforcetruth.com/","↗"
"bonsens.info","low","6930216","2014","BonSens","https://mediabiasfactcheck.com/bonsens/","","CP","fr","","low","","https://bonsens.info/","↗"
"brandnewtube.com","very-low","42472","2013","Brand New Tube","https://mediabiasfactcheck.com/brand-new-tube/","","CP","en","-0.8","unknown","","https://brandnewtube.com/","↗"
"breaking911.com","very-low","107352","2011","Breaking911","https://mediabiasfactcheck.com/breaking911/","","FN","en","-0.5","low","Verified","https://breaking911.com/","↗"
"breakingchristiannews.com","low","850195","2004","Breaking Christian News","https://mediabiasfactcheck.com/breaking-christian-news/","","FN","en","0.3","low","Problematic","https://breakingchristiannews.com/","↗"
"breakingfirst.com","low","1098222","2015","Breaking First","https://mediabiasfactcheck.com/breaking-first/","","FN","en","0.0","low","","https://breakingfirst.com/","↗"
"breakingnews247.net","low","577109","2016","Breakingnews247.net","https://mediabiasfactcheck.com/breakingnews247-net/","","FN","en","","low","","http://www.breakingnews247.net/","↗"
"brighteon.com","very-low","13427","2018","Brighteon","https://mediabiasfactcheck.com/brighteon/","","CP","en","-0.8","unknown","Problematic","https://www.brighteon.com/","↗"
"britainfirst.org","low","20000000","","Britain First","https://mediabiasfactcheck.com/britain-first/","https://en.wikipedia.org/wiki/Britain_First","FN","en","-0.6","low","","https://www.britainfirst.org/","↗"
"bugout.news","very-low","7562706","2015","Bugout.news","https://mediabiasfactcheck.com/bugout-news/","https://en.wikipedia.org/wiki/Natural_News","CP","en","0.0","low","Problematic","https://bugout.news/","↗"
"campusinsanity.com","very-low","20000000","2015","CampusInsanity","https://mediabiasfactcheck.com/campusinsanity-com/","https://en.wikipedia.org/wiki/Natural_News","CP","en","0.0","low","Problematic","https://campusinsanity.com/","↗"
"canadafreepress.com","low","136099","2002","Canada Free Press","https://mediabiasfactcheck.com/canada-free-press/","","FN","en","-0.6","low","Problematic","https://canadafreepress.com/","↗"
"cancer.news","very-low","2842234","","Cancer.news","https://mediabiasfactcheck.com/cancer-news/","https://en.wikipedia.org/wiki/Natural_News","CP","en","0.0","low","Problematic","https://cancer.news/","↗"
"cap-news.com","very-low","7164955","","Cap News","https://mediabiasfactcheck.com/cap-news/","","FN","en","-0.8","low","Problematic","https://cap-news.com/","↗"
"carm.org","low","91110","1997","Christian Apologetics & Research Ministry (CARM)","https://mediabiasfactcheck.com/christian-apologetics-research-ministry-carm/","https://en.wikipedia.org/wiki/Christian_Apologetics_and_Research_Ministry","CP","en","0.5","low","Problematic","https://carm.org/","↗"
"cei.org","low","341823","1995","Competitive Enterprise Institute","https://mediabiasfactcheck.com/competitive-enterprise-institute/","https://en.wikipedia.org/wiki/Competitive_Enterprise_Institute","FN","en","0.3","low","","https://cei.org/","↗"
"censored.news","low","341119","","Censored.news","https://mediabiasfactcheck.com/censored-news/","","FN","en","-0.6","low","","https://censored.news/","↗"
"cfact.org","low","538026","1997","The Committee for a Constructive Tomorrow (CFACT)","https://mediabiasfactcheck.com/committee-constructive-tomorrow-cfact-org/","https://en.wikipedia.org/wiki/Committee_for_a_Constructive_Tomorrow","CP","en","0.2","low","Problematic","https://www.cfact.org/","↗"
"childrenshealthdefense.org","low","78475","2018","Children's Health Defense","https://mediabiasfactcheck.com/childrens-health-defense/","https://en.wikipedia.org/wiki/Children%27s_Health_Defense","CP","en","-0.8","low","Problematic","https://childrenshealthdefense.org/","↗"
"chlorellafactor.com","very-low","20000000","2004","Chlorella Factor","https://mediabiasfactcheck.com/chlorellafactor-com/","https://en.wikipedia.org/wiki/Natural_News","CP","en","0.0","low","Problematic","https://chlorellafactor.com/","↗"
"christianaction.org","low","500176","1999","Christian Action Network","https://mediabiasfactcheck.com/christian-action-network/","https://en.wikipedia.org/wiki/Christian_Action_Network","FN","en","0.0","low","","https://christianaction.org/","↗"
"christianscience.com","low","178497","1998","Christian Science","https://mediabiasfactcheck.com/christian-science/","https://en.wikipedia.org/wiki/Christian_Science","CP","en","0.2","low","Problematic","https://www.christianscience.com/","↗"
"christiansfortruth.com","very-low","342936","2013","Christians for Truth","https://mediabiasfactcheck.com/christians-for-truth/","https://en.wikipedia.org/wiki/Kwasizabantu","FN","en","-1.0","low","","https://christiansfortruth.com/","↗"
"cityworldnews.com","very-low","16006975","2014","CityWorldNews","https://mediabiasfactcheck.com/cityworldnews/","","FN","en","-0.9","low","","http://cityworldnews.com/","↗"
"clarionproject.org","low","208275","2012","Clarion Project","https://mediabiasfactcheck.com/clarion-project/","https://en.wikipedia.org/wiki/Clarion_Project","FN","en","0.2","low","","https://clarionproject.org/","↗"
"clashdaily.com","low","160053","","Clash Daily","https://mediabiasfactcheck.com/clash-daily/","","FN","en","-0.8","low","Problematic","https://clashdaily.com/","↗"
"climate.news","very-low","5384066","2017","Climate.News","https://mediabiasfactcheck.com/climate-news/","https://en.wikipedia.org/wiki/Natural_News","FN","en","0.0","low","","https://climate.news/","↗"
"climatechangedispatch.com","low","782598","","Climate Change Dispatch","https://mediabiasfactcheck.com/climate-change-dispatch/","","CP","en","-0.1","low","Problematic","https://climatechangedispatch.com/","↗"
"climatism.blog","low","1160373","","Climatism","https://mediabiasfactcheck.com/climatism/","","CP","en","0.0","low","Problematic","https://climatism.blog/","↗"
"cloverchronicle.com","low","1065138","2018","Clover Chronicle","https://mediabiasfactcheck.com/clover-chronicle-bias-credibility-fake-news/","","FN","en","0.0","low","","https://cloverchronicle.com/","↗"
"cnnsofake.news","very-low","20000000","2018","CNN So Fake News","https://mediabiasfactcheck.com/cnn-so-fake-news/","","CP","en","","unknown","","https://cnnsofake.news/","↗"
"cnsnews.com","low","33402","1998","CNS News","https://mediabiasfactcheck.com/cns-news/","https://en.wikipedia.org/wiki/CNSNews.com","FN","en","-0.7","low","Verified","https://www.cnsnews.com/","↗"
"coasttocoastam.com","low","22966","1999","Coast to Coast AM","https://mediabiasfactcheck.com/coast-to-coast-am/","https://en.wikipedia.org/wiki/Coast_to_Coast_AM","CP","en","-0.1","low","Problematic","https://www.coasttocoastam.com/","↗"
"collapse.news","very-low","2494406","2015","Collapse.News","https://mediabiasfactcheck.com/collapse-news/","https://en.wikipedia.org/wiki/Natural_News","CP","en","0.0","low","","https://collapse.news/","↗"
"collective-evolution.com","low","24058","2009","Collective Evolution","https://mediabiasfactcheck.com/collective-evolution/","","CP","en","-0.6","low","Problematic","https://www.collective-evolution.com/","↗"
"concernedwomen.org","low","1264653","","Concerned Women for America","https://mediabiasfactcheck.com/concerned-women-america/","https://en.wikipedia.org/wiki/Concerned_Women_for_America","FN","en","-0.4","unknown","","https://concernedwomen.org/","↗"
"conservativeammo.com","low","2874905","2016","Conservative Ammo","https://mediabiasfactcheck.com/conservative-ammo/","","FN","en","0.0","low","","https://conservativeammo.com/","↗"
"conservativebeaver.com","very-low","1210737","2020","Conservative Beaver","https://mediabiasfactcheck.com/conservative-beaver/","","FN","en","-1.0","unknown","","https://www.conservativebeaver.com/","↗"
"conservativedailypost.com","low","52389","2016","Conservative Daily Post","https://mediabiasfactcheck.com/conservative-daily-post/","","FN","en","-1.0","low","Problematic","https://conservativedailypost.com/","↗"
"conservativefreepress.com","low","498141","2015","Conservative Free Press","https://mediabiasfactcheck.com/conservative-free-press/","","FN","en","0.0","low","","https://www.conservativefreepress.com/","↗"
"conservativeplaylist.com","low","308296","","Conservative Playlist","https://mediabiasfactcheck.com/conservative-playlist/","","FN","en","-0.6","unknown","","https://conservativeplaylist.com/","↗"
"conservativepost.com","low","775568","2013","Conservative Post","https://mediabiasfactcheck.com/conservative-post/","","FN","en","-0.8","low","Problematic","https://conservativepost.com/","↗"
"conspiracydailyupdate.com","very-low","376327","2016","Conspiracy Daily Update","https://mediabiasfactcheck.com/conspiracy-daily-update/","","CP","en","-1.0","low","Problematic","https://conspiracydailyupdate.com/","↗"
"consumerwellness.org","very-low","4350479","","Consumer Wellness Center","https://mediabiasfactcheck.com/consumer-wellness-center/","","CP","en","0.3","unknown","","https://consumerwellness.org/","↗"
"corbettreport.com","low","93466","","The Corbett Report","https://mediabiasfactcheck.com/the-corbett-report/","","CP","en","-0.9","low","Problematic","https://www.corbettreport.com/","↗"
"corona-transition.org","low","32698","","Corona Transition","https://mediabiasfactcheck.com/corona-transition/","","FN","de","0.4","unknown","","https://corona-transition.org/","↗"
"cosmicintelligenceagency.com","low","237380","2005","Cosmic Intelligence Agency","https://mediabiasfactcheck.com/cosmic-intelligence-agency/","","CP","en","0.0","low","Problematic","https://cosmicintelligenceagency.com/","↗"
"counterthink.com","very-low","6181565","","CounterThink.com","https://mediabiasfactcheck.com/counterthink-com/","https://en.wikipedia.org/wiki/Natural_News","CP","en","0.0","low","","https://counterthink.com/","↗"
"covid19criticalcare.com","low","17743","2020","FLCCC Alliance","https://mediabiasfactcheck.com/front-line-covid-19-critical-care-alliance-flccc-bias/","https://en.wikipedia.org/wiki/Front_Line_COVID-19_Critical_Care_Alliance","CP","en","-0.6","unknown","","https://covid19criticalcare.com/","↗"
"creation.com","low","55961","1995","Christian Ministries International","https://mediabiasfactcheck.com/christian-ministries-international/","","CP","en","0.2","low","Problematic","https://creation.com/","↗"
"csglobe.com","low","1263204","2013","CS Globe","https://mediabiasfactcheck.com/cs-globe/","","CP","en","-0.9","low","Problematic","https://csglobe.com/","↗"
"curiousmindmagazine.com","low","122023","2015","Curious Mind Magazine","https://mediabiasfactcheck.com/curious-mind-magazine/","","CP","en","0.0","low","Problematic","https://curiousmindmagazine.com/","↗"
"dagospia.com","low","1273","2016","Dagospia","https://mediabiasfactcheck.com/dagospia-bias/","5","FN","it","0.7","unknown","","https://www.dagospia.com/","↗"
"dailybuzzlive.com","very-low","1425259","2013","Daily Buzz Live","https://mediabiasfactcheck.com/daily-buzz-live/","https://en.wikipedia.org/wiki/The_Daily_Buzz","FN","en","-1.0","low","Problematic","https://dailybuzzlive.com/","↗"
"dailyexpose.co.uk","very-low","250150","","The Daily Expose","https://mediabiasfactcheck.com/the-daily-expose/","","CP","en","0.0","unknown","","https://dailyexpose.co.uk/","↗"
"dailyheadlines.net","low","428808","2014","Daily Headlines","https://mediabiasfactcheck.com/daily-headlines/","","FN","en","-1.0","low","Unverified","https://dailyheadlines.net/","↗"
"dailyhealthpost.com","low","142158","2012","DailyHealthPost","https://mediabiasfactcheck.com/dailyhealthpost/","","CP","en","-0.7","low","Problematic","https://dailyhealthpost.com/","↗"
"dailymail.co.uk","low","316","1995","Daily Mail","https://mediabiasfactcheck.com/daily-mail/","https://en.wikipedia.org/wiki/Wikipedia:Reliable_sources/Perennial_sources","FN","en","","unknown","","https://www.dailymail.co.uk/ushome/index.html","↗"
"dailyoccupation.com","low","722179","2016","Daily Occupation","https://mediabiasfactcheck.com/daily-occupation/","","CP","en","-1.0","low","Problematic","https://dailyoccupation.com/","↗"
"dailystormer.su","very-low","78915","2020","Daily Stormer","https://mediabiasfactcheck.com/daily-stormer/","https://en.wikipedia.org/wiki/The_Daily_Stormer","FN","en","-0.6","unknown","Unverified","https://dailystormer.su/","↗"
"dailysurge.com","low","202999","","Daily Surge","https://mediabiasfactcheck.com/daily-surge/","","FN","en","-1.0","medium","Problematic","https://dailysurge.com/","↗"
"darkjournalist.com","low","764232","2011","Dark Journalist","https://mediabiasfactcheck.com/dark-journalist/","","CP","en","0.0","low","Problematic","https://darkjournalist.com/","↗"
"dataasylum.com","low","2507356","2000","Data Asylum","https://mediabiasfactcheck.com/data-asylum/","","CP","en","-1.0","low","Problematic","https://www.dataasylum.com/","↗"
"davidharrisjr.com","low","164309","2016","David Harris Jr","https://mediabiasfactcheck.com/davidharrisjr-com/","","FN","en","-1.0","low","Verified","https://davidharrisjr.com/","↗"
"davidicke.com","very-low","36009","1997","David Icke","https://mediabiasfactcheck.com/david-icke/","","CP","en","-0.8","low","Problematic","https://www.davidicke.com/","↗"
"dcclothesline.com","low","144327","2013","The DC Clothesline","https://mediabiasfactcheck.com/the-d-c-clothesline/","","FN","en","-0.6","low","Problematic","https://www.dcclothesline.com/","↗"
"dcdirtylaundry.com","very-low","78280","2018","DC Dirty Laundry","https://mediabiasfactcheck.com/dc-dirty-laundry/","","FN","en","0.0","low","Problematic","https://dcdirtylaundry.com/","↗"
"dcgazette.com","low","3708726","2014","DC Gazette","https://mediabiasfactcheck.com/dc-gazette/","https://en.wikipedia.org/wiki/List_of_fake_news_websites","FN","en","-0.9","low","Problematic","https://dcgazette.com/","↗"
"de.rt.com","very-low","346","1991","RT DE","https://mediabiasfactcheck.com/rt-de-rt-news-germany-bias/","https://en.wikipedia.org/wiki/RT_Deutsch","FN","de","0.0","unknown","","https://de.rt.com/","↗"
"defconnews.com","low","348545","2018","Def-Con News","https://mediabiasfactcheck.com/def-con-news-bias/","","FN","en","","low","Unverified","https://defconnews.com/","↗"
"defendingtherepublic.org","very-low","225001","","Defending the Republic","https://mediabiasfactcheck.com/defending-the-republic-bias/","","FN","en","","unknown","","https://defendingtherepublic.org/","↗"
"defiantamerica.com","low","2691233","2016","Defiant America","https://mediabiasfactcheck.com/defiant-america/","","FN","en","0.0","low","","https://defiantamerica.com/","↗"
"deplorablekel.com","low","467402","2017","Deplorable Kel","https://mediabiasfactcheck.com/deplorable-kel/","","FN","en","0.0","low","","https://deplorablekel.com/","↗"
"digifection.com","low","658363","2016","The Times of America","https://mediabiasfactcheck.com/the-times-of-america/","","FN","en","-1.0","unknown","","https://www.digifection.com/","↗"
"disclose.tv","low","27647","2007","Disclose TV","https://mediabiasfactcheck.com/disclose-tv/","https://en.wikipedia.org/wiki/List_of_fake_news_websites","CP","en","-0.8","low","Problematic","https://www.disclose.tv/","↗"
"discoverthenetworks.org","low","689724","2005","Discover the Networks","https://mediabiasfactcheck.com/discover-the-networks/","https://en.wikipedia.org/wiki/Discover_the_Networks","FN","en","0.5","low","","https://www.discoverthenetworks.org/","↗"
"discovery.org","low","393423","1995","Discovery Institute","https://mediabiasfactcheck.com/discovery-institute/","https://en.wikipedia.org/wiki/Discovery_Institute","CP","en","0.1","low","Problematic","https://www.discovery.org/","↗"
"distributednews.com","very-low","138257","","Hang The Censors","https://mediabiasfactcheck.com/distributed-news/","","CP","en","-1.0","low","","https://distributednews.com/","↗"
"djhjmedia.com","low","37321","2019","BitChute","https://mediabiasfactcheck.com/djhj-media/","","FN","en","-0.8","low","Unverified","https://djhjmedia.com/","↗"
"doctors4covidethics.org","very-low","251712","","Doctors for Covid Ethics","https://mediabiasfactcheck.com/doctors-for-covid-ethics/","","CP","en","-0.3","unknown","","https://doctors4covidethics.org/","↗"
"donaldjtrump.com","low","21643","","Save America","https://mediabiasfactcheck.com/donaldjtrump-com/","https://en.wikipedia.org/wiki/Donald_Trump","FN","en","-0.6","unknown","Unverified","https://www.donaldjtrump.com/","↗"
"earthpulse.com","low","3286750","1996","Earthpulse Press","https://mediabiasfactcheck.com/earthpulse-press/","","CP","en","0.2","low","Problematic","https://earthpulse.com/","↗"
"echocheck.org","very-low","20000000","","Echo Check","https://mediabiasfactcheck.com/echo-check/","","FN","en","-1.0","unknown","","https://echocheck.org/","↗"
"ecology.news","very-low","4189190","2015","Ecology News","https://mediabiasfactcheck.com/ecology-news/","https://en.wikipedia.org/wiki/Natural_News","CP","en","0.0","low","","https://ecology.news/","↗"
"educate-yourself.org","very-low","189941","1999","Educate Yourself","https://mediabiasfactcheck.com/educate-yourself/","","CP","en","-0.2","low","Problematic","https://educate-yourself.org/","↗"
"electroverse.net","low","335147","2019","Electroverse","https://mediabiasfactcheck.com/electroverse/","","CP","en","0.0","low","Unverified","https://electroverse.net/","↗"
"elizabethjohnston.org","low","1179306","","Elizabeth Johnston","https://mediabiasfactcheck.com/activist-mommy/","https://en.wikipedia.org/wiki/Elizabeth_Johnston","FN","en","","unknown","","https://elizabethjohnston.org/","↗"
